50px 	Герца 	Чернівецька область 	2 068 	1437 	3.20
50px 	Гірник 	Донецька область 	14 207 	1938 	5.10
50px 	Гірське 	Луганська область 	11 473 	1898 	14.00
50px 	Глиняни 	Львівська область 	3 378 	1379 	5.45
50px 	Глобине 	Полтавська область 	12 902 	1737 [1] 	17.00
50px 	Глухів 	Сумська область 	35 768 	992 [1] 	83.74
50px 	Гнівань 	Вінницька область 	12 832 	1629 	14.75
50px 	Гола Пристань 	Херсонська область 	16 028 	1709 	9.00
50px 	Голубівка 	Луганська область 	35 199 	1764 	35.00
50px 	Горішні Плавні 	Полтавська область 	51 740 	1960 	111.00
50px 	Горлівка 	Донецька область 	292 250 	1779 	422.00
50px 	Городенка 	Івано-Франківська область 	9 794 	1195 	56.00
50px 	Городище 	Черкаська область 	15 645 	1050 	21.70
50px 	Городня 	Чернігівська область 	14 043 	Шаблон:Sort 	12.20
50px 	Городок 	Львівська область 	16 082 	Шаблон:Sort 	30.00
50px 	Городок 	Хмельницька область 	17 746 	1362 	30.00
50px 	Горохів 	Волинська область 	9 015 	1240 	11.00
50px 	Гребінка 	Полтавська область 	11 662 	1895 	9.00
50px 	Гуляйполе 	Запорізька область 	17 077 	1770-ті 	23.10
50px 	Дебальцеве 	Донецька область 	30 246 	1878 	24.30
50px 	Деражня 	Хмельницька область 	10 446 	1431 	17.50
50px 	Дергачі 	Харківська область 	20 258 	1660 	191.00
50px 	Джанкой 	Автономна Республіка Крим 	43 343 	1855 	26.00
50px 	Дніпро 	Дніпропетровська область 	Шаблон:Sort 	1776 	415.00
50px 	Дніпрорудне 	Запорізька область 	21 054 	1961 	7.80
50px 	Добромиль 	Львівська область 	4 976 	1374 [1] 	5.00
50px 	Добропілля 	Донецька область 	35 638 	1840 	11.90
50px 	Довжанськ 	Луганська область 	72 531 	1938 	83.84
50px 	Докучаєвськ 	Донецька область 	24 383 	1912 	11.90
50px 	Долина 	Івано-Франківська область 	20 906 	979 	27.00
50px 	Долинська 	Кіровоградська область 	18 768 	1873 	12.13
50px 	Донецьк 	Донецька область 	Шаблон:Sort 	1869 	358.00
50px 	Дрогобич 	Львівська область 	79 119 	1091 	44.50
50px 	Дружба 	Сумська область 	5 726 	Шаблон:Sort 	8.50
50px 	Дружківка 	Донецька область 	64 557 	1781 	36.00
50px 	Дубляни 	Львівська область 	8 469 	1468 	5.00
50px 	Дубно 	Рівненська область 	39 146 	1100 [1] 	27.00
50px 	Дубровиця 	Рівненська область 	9 644 	1005 [1] 	8.90
50px 	Дунаївці 	Хмельницька область 	16 448 	1403 [1] 	13.00
50px 	Енергодар 	Запорізька область 	56 242 	1970 	63.50
50px 	Євпаторія 	Автономна Республіка Крим 	105 915 	497 	222.70
50px 	Єнакієве 	Донецька область 	103 997 	1898 	42.50
